EmployeeID,Name,Gender,Age,Department,Education,JobRole,HireDate,Attrition
1001,Employee_1,Other,53,Engineering,PhD,Executive,2023-06-24,No
1002,Employee_2,Male,25,Marketing,Masters,Analyst,2022-07-27,No
1003,Employee_3,Other,51,Engineering,PhD,Analyst,2023-03-09,Yes
1004,Employee_4,Other,58,Operations,Bachelors,Manager,2021-12-31,Yes
1005,Employee_5,Male,44,Marketing,Bachelors,Intern,2019-12-15,No
1006,Employee_6,Male,36,Operations,Bachelors,Manager,2018-03-24,Yes
1007,Employee_7,Other,50,HR,PhD,Manager,2021-03-14,Yes
1008,Employee_8,Female,57,Marketing,PhD,Intern,2023-03-17,No
1009,Employee_9,Other,34,HR,Bachelors,Intern,2023-08-11,Yes
1010,Employee_10,Other,53,Engineering,PhD,Intern,2018-02-20,No
1011,Employee_11,Other,28,Engineering,Bachelors,Analyst,2019-11-16,Yes
1012,Employee_12,Other,43,Marketing,Bachelors,Executive,2019-12-18,No
1013,Employee_13,Male,49,Marketing,Masters,Analyst,2022-01-09,No
1014,Employee_14,Other,23,Operations,PhD,Executive,2019-03-25,No
1015,Employee_15,Female,27,Operations,Bachelors,Analyst,2020-05-30,Yes
1016,Employee_16,Male,49,HR,Bachelors,Executive,2019-05-03,No
1017,Employee_17,Female,49,Marketing,PhD,Analyst,2022-12-29,No
1018,Employee_18,Female,41,Engineering,Masters,Intern,2023-09-13,No
1019,Employee_19,Female,51,Operations,Masters,Manager,2023-11-13,No
1020,Employee_20,Female,32,Operations,Bachelors,Analyst,2022-04-24,No
1021,Employee_21,Male,49,Engineering,PhD,Executive,2018-09-07,Yes
1022,Employee_22,Male,46,Operations,Masters,Intern,2019-11-05,No
1023,Employee_23,Female,54,HR,PhD,Analyst,2019-03-14,No
1024,Employee_24,Female,22,Marketing,PhD,Analyst,2023-12-06,No
1025,Employee_25,Male,48,Engineering,Bachelors,Intern,2020-02-10,No
1026,Employee_26,Male,34,Marketing,Masters,Analyst,2018-09-25,No
1027,Employee_27,Male,24,Operations,Bachelors,Manager,2023-06-08,No
1028,Employee_28,Other,27,Operations,Masters,Analyst,2020-12-13,Yes
1029,Employee_29,Other,29,Engineering,Masters,Manager,2018-08-24,No
1030,Employee_30,Other,48,HR,Masters,Manager,2019-01-24,No
1031,Employee_31,Female,30,Finance,Masters,Intern,2020-02-02,No
1032,Employee_32,Other,58,Engineering,Masters,Analyst,2023-01-23,No
1033,Employee_33,Female,54,Finance,PhD,Intern,2019-09-16,Yes
1034,Employee_34,Female,45,Finance,Bachelors,Analyst,2021-06-06,No
1035,Employee_35,Other,36,HR,PhD,Analyst,2019-08-01,No
1036,Employee_36,Female,53,Finance,Masters,Executive,2023-10-24,No
1037,Employee_37,Other,53,Finance,Bachelors,Analyst,2019-03-11,Yes
1038,Employee_38,Other,45,HR,Masters,Intern,2023-11-21,No
1039,Employee_39,Male,33,Finance,Bachelors,Manager,2020-02-03,No
1040,Employee_40,Other,23,Finance,PhD,Analyst,2021-08-22,Yes
1041,Employee_41,Male,24,Finance,Bachelors,Executive,2023-11-16,No
1042,Employee_42,Other,58,Engineering,Bachelors,Intern,2021-09-20,Yes
1043,Employee_43,Other,38,Engineering,Bachelors,Analyst,2019-03-23,Yes
1044,Employee_44,Male,23,Engineering,Bachelors,Intern,2023-07-11,No
1045,Employee_45,Male,23,HR,Bachelors,Executive,2021-08-24,No
1046,Employee_46,Other,49,Operations,Masters,Executive,2018-09-06,No
1047,Employee_47,Female,44,Finance,Bachelors,Intern,2018-06-15,No
1048,Employee_48,Male,58,Finance,Bachelors,Analyst,2021-09-20,No
1049,Employee_49,Female,53,HR,PhD,Manager,2020-10-16,No
1050,Employee_50,Female,54,Finance,Bachelors,Executive,2019-06-26,No
1051,Employee_51,Female,22,Engineering,PhD,Analyst,2020-01-29,No
1052,Employee_52,Male,40,Operations,Masters,Analyst,2023-10-30,No
1053,Employee_53,Female,23,Marketing,Bachelors,Manager,2023-12-21,No
1054,Employee_54,Male,47,Finance,PhD,Executive,2020-03-07,No
1055,Employee_55,Female,53,Engineering,PhD,Executive,2018-05-18,No
1056,Employee_56,Other,27,Marketing,Masters,Analyst,2021-09-15,No
1057,Employee_57,Other,53,Operations,Bachelors,Analyst,2023-02-19,Yes
1058,Employee_58,Male,25,Marketing,Bachelors,Manager,2018-03-10,No
1059,Employee_59,Other,32,Engineering,PhD,Manager,2023-10-02,No
1060,Employee_60,Other,38,Marketing,Bachelors,Executive,2022-01-13,Yes
1061,Employee_61,Female,59,HR,PhD,Intern,2018-07-24,Yes
1062,Employee_62,Male,45,Marketing,Bachelors,Executive,2023-12-14,No
1063,Employee_63,Female,26,Finance,PhD,Analyst,2018-02-12,No
1064,Employee_64,Female,55,Finance,Bachelors,Executive,2023-03-22,No
1065,Employee_65,Female,27,HR,Masters,Intern,2023-11-29,Yes
1066,Employee_66,Female,43,Engineering,Bachelors,Manager,2020-01-31,No
1067,Employee_67,Female,32,Finance,Bachelors,Intern,2023-11-13,No
1068,Employee_68,Female,37,Operations,Masters,Intern,2023-06-18,Yes
1069,Employee_69,Female,54,Finance,Bachelors,Intern,2023-04-20,Yes
1070,Employee_70,Male,30,Finance,Masters,Manager,2020-06-18,No
1071,Employee_71,Other,27,Engineering,Bachelors,Intern,2018-12-26,No
1072,Employee_72,Female,37,Marketing,PhD,Intern,2022-09-16,No
1073,Employee_73,Female,50,Finance,PhD,Intern,2018-10-08,No
1074,Employee_74,Female,24,HR,Bachelors,Analyst,2023-03-03,No
1075,Employee_75,Female,41,Marketing,Bachelors,Intern,2019-10-29,No
1076,Employee_76,Female,57,Operations,Bachelors,Manager,2018-04-03,No
1077,Employee_77,Female,40,Engineering,PhD,Intern,2019-11-03,No
1078,Employee_78,Other,47,Operations,Bachelors,Intern,2023-05-24,No
1079,Employee_79,Other,24,Marketing,PhD,Manager,2018-03-02,No
1080,Employee_80,Female,40,Marketing,Masters,Intern,2020-10-25,No
1081,Employee_81,Other,41,Marketing,PhD,Manager,2022-01-29,No
1082,Employee_82,Male,53,Operations,PhD,Intern,2019-08-27,No
1083,Employee_83,Female,28,Marketing,Masters,Manager,2019-11-13,No
1084,Employee_84,Male,54,Operations,PhD,Intern,2021-11-29,No
1085,Employee_85,Male,39,Marketing,Bachelors,Intern,2019-06-08,No
1086,Employee_86,Female,22,HR,Bachelors,Analyst,2023-05-23,No
1087,Employee_87,Other,32,Marketing,PhD,Analyst,2021-01-06,No
1088,Employee_88,Male,49,Operations,Bachelors,Intern,2022-10-20,No
1089,Employee_89,Female,46,Finance,PhD,Intern,2023-01-11,Yes
1090,Employee_90,Male,44,Marketing,Bachelors,Executive,2023-09-26,No
1091,Employee_91,Male,52,Finance,Bachelors,Manager,2021-02-18,No
1092,Employee_92,Male,51,HR,PhD,Executive,2020-12-15,No
1093,Employee_93,Male,56,Engineering,Bachelors,Analyst,2018-04-17,Yes
1094,Employee_94,Other,28,HR,PhD,Analyst,2018-02-17,No
1095,Employee_95,Male,37,Marketing,Bachelors,Analyst,2018-12-03,No
1096,Employee_96,Male,47,Finance,Bachelors,Analyst,2020-11-15,No
1097,Employee_97,Male,23,Finance,Masters,Intern,2021-07-04,No
1098,Employee_98,Other,22,Operations,Masters,Analyst,2023-08-18,No
1099,Employee_99,Male,33,Finance,PhD,Intern,2019-09-17,Yes
1100,Employee_100,Male,26,Operations,Masters,Intern,2023-03-06,No
1101,Employee_101,Other,58,Engineering,PhD,Analyst,2021-06-30,No
1102,Employee_102,Other,53,Marketing,Masters,Analyst,2022-09-12,No
1103,Employee_103,Other,30,Operations,Bachelors,Manager,2018-10-30,Yes
1104,Employee_104,Male,56,Engineering,PhD,Executive,2019-10-01,No
1105,Employee_105,Other,40,Finance,PhD,Analyst,2018-02-25,No
1106,Employee_106,Other,37,Finance,Bachelors,Manager,2019-12-27,No
1107,Employee_107,Male,24,Engineering,PhD,Manager,2019-06-10,No
1108,Employee_108,Other,41,Finance,PhD,Executive,2019-04-19,No
1109,Employee_109,Male,45,Engineering,Masters,Intern,2018-01-28,Yes
1110,Employee_110,Female,54,Operations,PhD,Analyst,2023-10-27,No
1111,Employee_111,Other,45,Operations,Bachelors,Executive,2018-12-31,Yes
1112,Employee_112,Female,32,Engineering,Masters,Analyst,2019-06-10,No
1113,Employee_113,Male,29,Operations,Masters,Manager,2021-08-28,No
1114,Employee_114,Other,57,Operations,Bachelors,Manager,2020-06-01,Yes
1115,Employee_115,Male,59,Operations,Bachelors,Intern,2020-10-27,No
1116,Employee_116,Female,41,HR,Masters,Manager,2020-10-23,No
1117,Employee_117,Male,56,Marketing,PhD,Manager,2022-07-05,No
1118,Employee_118,Other,46,Finance,Masters,Executive,2020-07-07,No
1119,Employee_119,Other,56,HR,Bachelors,Analyst,2022-11-10,No
1120,Employee_120,Female,46,Operations,Masters,Analyst,2022-03-12,No
1121,Employee_121,Male,50,Engineering,Bachelors,Executive,2023-03-22,No
1122,Employee_122,Other,39,Operations,Masters,Intern,2021-04-30,No
1123,Employee_123,Female,39,Marketing,PhD,Analyst,2022-07-13,Yes
1124,Employee_124,Other,23,Operations,Masters,Manager,2019-04-30,No
1125,Employee_125,Other,56,Engineering,Masters,Analyst,2023-09-07,No
1126,Employee_126,Male,37,Marketing,Bachelors,Manager,2019-12-15,No
1127,Employee_127,Other,57,Operations,Bachelors,Intern,2020-11-28,No
1128,Employee_128,Male,54,Marketing,Bachelors,Executive,2023-05-31,No
1129,Employee_129,Other,25,Finance,Masters,Analyst,2021-07-20,Yes
1130,Employee_130,Female,54,Finance,PhD,Executive,2021-06-08,No
1131,Employee_131,Other,35,Operations,Bachelors,Analyst,2023-11-04,No
1132,Employee_132,Male,42,Marketing,Bachelors,Manager,2018-05-06,No
1133,Employee_133,Male,41,Engineering,Masters,Executive,2019-06-21,Yes
1134,Employee_134,Female,29,Operations,Bachelors,Analyst,2023-09-04,No
1135,Employee_135,Other,28,Finance,PhD,Manager,2022-05-23,No
1136,Employee_136,Other,24,Finance,PhD,Executive,2018-03-08,No
1137,Employee_137,Female,38,Operations,Bachelors,Executive,2018-08-21,No
1138,Employee_138,Other,54,Marketing,Bachelors,Analyst,2023-11-27,No
1139,Employee_139,Other,33,Finance,Masters,Analyst,2021-03-15,No
1140,Employee_140,Male,43,Marketing,PhD,Analyst,2023-11-29,Yes
1141,Employee_141,Other,43,Finance,PhD,Manager,2018-04-21,No
1142,Employee_142,Other,51,Finance,Bachelors,Analyst,2022-02-02,No
1143,Employee_143,Female,59,HR,Masters,Executive,2023-09-13,No
1144,Employee_144,Female,59,Finance,PhD,Executive,2019-09-15,No
1145,Employee_145,Male,29,Engineering,PhD,Analyst,2022-03-22,No
1146,Employee_146,Other,48,Operations,Masters,Analyst,2021-07-29,No
1147,Employee_147,Other,48,Operations,Masters,Intern,2022-10-28,No
1148,Employee_148,Other,55,Marketing,PhD,Executive,2023-05-30,Yes
1149,Employee_149,Male,42,Finance,PhD,Manager,2020-05-26,No
1150,Employee_150,Male,51,Engineering,Masters,Intern,2023-06-13,No
